ability_id,en,icon
2748083284738048,Cleave,cleave
2629658151485440,Tirsa Prime,mount.landspeeder.03.01
3240110443200512,N4-SW Runner,pet.battledroid.combat.a01_ns10
3683449852395520,Silver Season 6 Token Grant,badge
2877168526819328,Enrage,bloodthirst
2022405610405888,Maul,animalTalon
3221088033046528,Orbital Bombardment,orbitalbombardment
2882571595677696,Shield Boost,forceArmor
3362023089897763,Stunned,stunned
3362023089897472,Shock,shock
3648192465862656,Focused Defense,deflection
3417509772394496,Alacrity Boost,attackSlowed
3244358165856256,Power Surge,hk51assassinate
3659741632921600,Heroic Transport,prioritytransport2
3196112798220288,Melee Attack,lightsaber_generic
1460787096846593,Bleeding (Physical),bloomingshot
1460787096846336,Shatter,armormelt
3174706681217024,55 in 50 Blues,crazedbluff
828301622902784,Armor Piercing Cell,armorPiercingClip
3056058209665024,Ball Toss,murderball
2515454971084800,Fury,brooding
3021702766264578,Immobilized,immobilized
3021702766264320,Obliterate,saberstorm
2306672315858944,Shiv,Shiv
3191585902690567,Teleporter Fatigue,lightarmors
3191585902690304,Teleporter Stealth,shadowwalk
2510404089544968,Penalty of Destiny,snipe
2510404089544971,Penalty of Destiny,backflips
2510404089544704,Duel of the Fates,backflips
800809537241088,Env Player Force Ground,pull
3334741457633280,Call Reinforcements,desperatecommand
2879152801710080,Full Auto,fullAuto
2876674605580288,Mortar Barrage,missilesalvo
3401128767127552,Emergency Scan,rapidscan
3242644473905152,Tongue Grab,tentacle
3413622826991616,Kolto Wave,meleetankunlock
3569762068070662,Sundered (Physical),armorReduced
3569762068070400,Force Crush,abl_tr_vg_paralytic_augs
3377789914841088,Great Swipe,animaltaloncolorvariant1
3634860887376142,Smoke Screen,merc_comm_uti_smoke_screen
3634860887375872,Propulsion Round,comm_propulsion_round
2850629923897344,Blastwave,overload
3187505683759104,Jet Charge,jetcharge
1962284658196739,Incapacitated (Physical),levitated
1962284658196752,Immobilized (Force),immobilized
1962284658196780,Slowed (Force),movementSlowed
1962284658196480,Low Slash,lowslash
2533738646863872,Throwing,basicgrenade
3276716449464320,Helix Hyperpod,mount.asation.nightmare.pod
808750931771392,Dark Crystal,shat_ltsbr_crystal
2953674779263239,Overcharge,shocked
2953674779263241,Ignored,cc_passive
2953674779262976,Overcharge,shock
2856870511378432,Icicle Smash,carbonitegrenade
2777752918819079,Incendiary Missile,flamingsweep
2777752918819081,Burning (Physical),explosiveprobe
2777752918818816,Flame Sweep,flamingsweep
3569250966962176,Threatening Strike,riposte
2290660677779717,Prototype Electron Barrier,carbonitereinforcedshield
2290660677779456,Prototype Electron Barrier,carbonitereinforcedshield
3025370668335104,Unstable,gland
3149924719919104,Nano-Infused Attack Adrenal,heavydutyredstimpack
3647805918806016,Power Surge,hk51assassinate
3695196587950358,Asleep (Tech),blinded
3695196587950364,Zapped,carbonitegrenade
3695196587950080,Electro-Stasis,electricshield
